"","Richness","Species","Site","Year","Forest.type","N.Sus","Presence"
"317",71,"Polystichum lonchitis","BOL1",2005,"Boreal forest",12,0
"318",71,"Rubus hirtus","BOL1",2005,"Boreal forest",12,0
"319",71,"Carex sp.","BOL1",2005,"Boreal forest",12,0
"320",71,"Galium parisiense","BOL1",2005,"Boreal forest",12,0
"321",71,"Moehringia muscosa","BOL1",2005,"Boreal forest",12,0
"322",71,"Myosotis arvensis","BOL1",2005,"Boreal forest",12,0
"323",71,"Ornithogalum umbellatum","BOL1",2005,"Boreal forest",12,0
"324",71,"Allium ursinum","BOL1",2005,"Boreal forest",12,0
"325",71,"Laurus nobilis","BOL1",2005,"Boreal forest",12,0
"326",71,"Carex divulsa","BOL1",2005,"Boreal forest",12,0
"327",71,"Melampyrum cristatum","BOL1",2005,"Boreal forest",12,0
"328",71,"Campanula rapunculus","BOL1",2005,"Boreal forest",12,0
"329",71,"Silene italica","BOL1",2005,"Boreal forest",12,0
"330",71,"Galium sp.","BOL1",2005,"Boreal forest",12,0
"331",71,"Anthriscus sylvestris","BOL1",2005,"Boreal forest",12,1
"332",71,"Astrantia major","BOL1",2005,"Boreal forest",12,0
"333",71,"Dryopteris carthusiana","BOL1",2005,"Boreal forest",12,0
"334",71,"Aruncus dioicus","BOL1",2005,"Boreal forest",12,0
"335",71,"Peucedanum ostruthium","BOL1",2005,"Boreal forest",12,0
"336",71,"Lathyrus sylvestris","BOL1",2005,"Boreal forest",12,0
"337",71,"Cyclamen repandum","BOL1",2005,"Boreal forest",12,0
"338",71,"Urtica sp.","BOL1",2005,"Boreal forest",12,0
"339",71,"Orobanche schultzii","BOL1",2005,"Boreal forest",12,0
"340",71,"Iris foetidissima","BOL1",2005,"Boreal forest",12,0
"341",71,"Phillyrea latifolia","BOL1",2005,"Boreal forest",12,0
"342",71,"Ostrya carpinifolia","BOL1",2005,"Boreal forest",12,0
"343",71,"Cardamine enneaphyllos","BOL1",2005,"Boreal forest",12,0
"344",71,"Actaea spicata","BOL1",2005,"Boreal forest",12,0
"345",71,"Digitalis lutea","BOL1",2005,"Boreal forest",12,0
"346",71,"Agrostis capillaris","BOL1",2005,"Boreal forest",12,0
"347",71,"Huperzia selago","BOL1",2005,"Boreal forest",12,0
"348",71,"Senecio ovatus","BOL1",2005,"Boreal forest",12,0
"349",71,"Thesium sp.","BOL1",2005,"Boreal forest",12,0
"350",71,"Angelica sylvestris","BOL1",2005,"Boreal forest",12,0
"351",71,"Rosa pendulina","BOL1",2005,"Boreal forest",12,0
"352",71,"Bromus ramosus","BOL1",2005,"Boreal forest",12,0
"353",71,"Gentiana purpurea","BOL1",2005,"Boreal forest",12,0
"354",71,"Senecio cacaliaster","BOL1",2005,"Boreal forest",12,0
"355",71,"Cardamine monteluccii","BOL1",2005,"Boreal forest",12,0
"356",71,"Geranium lucidum","BOL1",2005,"Boreal forest",12,0
"357",71,"Doronicum columnae","BOL1",2005,"Boreal forest",12,0
"358",71,"Anemone apennina","BOL1",2005,"Boreal forest",12,0
"359",71,"Orobanche sp.","BOL1",2005,"Boreal forest",12,0
"360",71,"Ailanthus altissima","BOL1",2005,"Boreal forest",12,0
"361",71,"Hieracium racemosum","BOL1",2005,"Boreal forest",12,0
"362",71,"Veratrum album","BOL1",2005,"Boreal forest",12,0
"363",71,"Ranunculus serpens","BOL1",2005,"Boreal forest",12,0
"364",71,"Aristolochia sp.","BOL1",2005,"Boreal forest",12,0
"365",71,"Asphodelus albus","BOL1",2005,"Boreal forest",12,0
"366",71,"Echinops siculus","BOL1",2005,"Boreal forest",12,0
"367",71,"Geranium sanguineum","BOL1",2005,"Boreal forest",12,0
"368",71,"Orchis sp.","BOL1",2005,"Boreal forest",12,0
"369",71,"Peucedanum officinale","BOL1",2005,"Boreal forest",12,0
"370",71,"Physospermum verticillatum","BOL1",2005,"Boreal forest",12,0
"371",71,"Pulmonaria saccharata","BOL1",2005,"Boreal forest",12,0
"372",71,"Rosa canina","BOL1",2005,"Boreal forest",12,0
"373",71,"Rumex acetosa","BOL1",2005,"Boreal forest",12,0
"374",71,"Trifolium pratense","BOL1",2005,"Boreal forest",12,1
"375",71,"Vicia sativa","BOL1",2005,"Boreal forest",12,0
"376",71,"Silene viscosa","BOL1",2005,"Boreal forest",12,0
"377",71,"Chamaespartium sagittale","BOL1",2005,"Boreal forest",12,0
"378",71,"Heptaptera angustifolia","BOL1",2005,"Boreal forest",12,0
"379",71,"Poa trivialis","BOL1",2005,"Boreal forest",12,0
"380",71,"Pulmonaria vallarsae","BOL1",2005,"Boreal forest",12,0
"381",71,"Quercus frainetto","BOL1",2005,"Boreal forest",12,0
"382",71,"Senecio sp.","BOL1",2005,"Boreal forest",12,0
"383",71,"Symphytum bulbosum","BOL1",2005,"Boreal forest",12,0
"384",71,"Rubus fruticosus","BOL1",2005,"Boreal forest",12,0
"385",71,"Smyrnium perfoliatum","BOL1",2005,"Boreal forest",12,0
"386",71,"Sambucus ebulus","BOL1",2005,"Boreal forest",12,0
