Year,Site,N.Sus,Tree_cover,Mean_temp,Annual_prec,pH,NH4,SO4,K,NO3,cv_prec,tot_prec_growing_season,mean_temp_growing_season,CDD_annuale,CDD_growing_season,DefM,Richness,Shrub_cover,TX90p_annual,Temp_seasonality,Forest_type
2005,ABR2,12,82.5,11.86,905.4,NA,NA,NA,NA,NA,63.45,202.1,17.25,26,26,19.52,65,15,18.9,6.94,Nemoral oak forest
2005,BAS1,12,81.67,12.23,611.3,NA,NA,NA,NA,NA,70.78,112,17.03,24,24,28.33,76,9.5,18.63,6.47,Nemoral oak forest
2005,BOL1,12,35,10.86,570.9,NA,NA,NA,NA,NA,74.47,308.5,17.75,33,9,15.5,71,35.42,18.63,8.21,Boreal forest
2005,CAL1,12,83.75,13.34,1419.8,NA,NA,NA,NA,NA,54.82,359,17.94,20,19,23.47,37,0.71,4.93,6.28,Nemoral beech forest
2005,CAM1,12,94.17,12.22,724,NA,NA,NA,NA,NA,67.33,135.3,16.92,24,24,18.5,29,2.67,19.45,6.38,Nemoral beech forest
2005,EMI1,12,84.58,12.57,655.5,NA,NA,NA,NA,NA,83.82,243.6,19.65,50,23,38,27,17.5,9.32,8.52,Nemoral oak forest
2005,EMI2,12,100,10.76,1039.5,NA,NA,NA,NA,NA,66.84,398.5,17.1,21,17,6.96,23,6.25,12.6,7.9,Nemoral beech forest
2005,FRI1,12,86.58,12.54,855.5,NA,NA,NA,NA,NA,61.03,461.2,19.15,24,12,19.25,63,26.25,7.4,7.97,Nemoral oak forest
2005,FRI2,12,72.5,4.63,1412,NA,NA,NA,NA,NA,55.46,788.6,10.84,21,10,13.87,52,10.58,13.15,7.63,Boreal forest
2005,LAZ1,12,73.33,12.94,953.8,5.46,0.051,2.314,0.227,0.01,77.61,231.4,18.81,25,25,13.17,54,21.67,13.15,7.38,Nemoral oak forest
2005,LAZ2,12,86.25,16.31,1000.9,NA,NA,NA,NA,NA,72.2,168.6,20.59,26,26,11.67,19,21.25,37.26,6.11,Mediterranean forest
2005,LIG1,12,79.58,9.13,1295.5,NA,NA,NA,NA,NA,75.85,512.1,14.58,42,17,21.52,24,0.29,16.16,6.94,Nemoral beech forest
2005,LOM1,11,60.91,1.52,849.4,5.665,0.03,0.554,0.377,0.168,49.06,508.6,6.66,20,10,19.5,55,8.09,14.79,6.77,Boreal forest
2005,LOM2,12,78.75,7.32,928.5,NA,NA,NA,NA,NA,58.81,502.8,12.88,33,9,16.5,35,0.83,10.68,6.81,Boreal forest
2005,LOM3,12,92.17,7.02,801,NA,NA,NA,NA,NA,52.79,444.8,12.72,21,10,19.33,45,0.42,16.16,6.99,Nemoral beech forest
2005,MAR1,12,84.58,12.74,1120.9,NA,NA,NA,NA,NA,51.24,424.7,18.73,23,23,9.33,59,34.17,9.86,7.29,Nemoral oak forest
2005,PIE1,12,99.58,9.1,554.5,NA,NA,NA,NA,NA,74.8,379.4,15.28,59,10,27.17,13,0.67,15.62,7.49,Nemoral beech forest
2005,PUG1,12,94.42,13.91,252.6,NA,NA,NA,NA,NA,78.86,28.9,18.82,32,32,19.03,25,12.33,13.7,6.58,Nemoral beech forest
2005,SAR1,12,80.83,14.55,901,NA,NA,NA,NA,NA,96.94,238.2,19.05,67,67,11.38,20,7,11.78,6.45,Mediterranean forest
2005,SIC1,12,65,15.4,468.3,NA,NA,NA,NA,NA,101.23,69.8,19.08,44,44,13.19,37,54.58,8.49,6.09,Nemoral oak forest
